year,sex,age,edu_1,employed
2018,males,55-59,primary_and_below,23500
2018,males,60-64,primary_and_below,25000
2018,males,65-69,primary_and_below,16500
2018,males,70_and_over,primary_and_below,14300
2018,males,15-19,lower_secondary,600
2018,males,20-24,lower_secondary,1000
2018,males,25-29,lower_secondary,1900
2018,males,30-34,lower_secondary,2000
2018,males,35-39,lower_secondary,3300
2018,males,40-44,lower_secondary,6800
2018,males,45-49,lower_secondary,7000
2018,males,50-54,lower_secondary,13500
2018,males,55-59,lower_secondary,16600
2018,males,60-64,lower_secondary,15700
2018,males,65-69,lower_secondary,10200
2018,males,70_and_over,lower_secondary,4700
2018,males,15-19,secondary,7200
2018,males,20-24,secondary,6300
2018,males,25-29,secondary,9100
2018,males,30-34,secondary,9600
2018,males,35-39,secondary,13600
2018,males,40-44,secondary,16100
2018,males,45-49,secondary,23400
2018,males,50-54,secondary,26800
2018,males,55-59,secondary,32100
2018,males,60-64,secondary,22600
2018,males,65-69,secondary,12200
2018,males,70_and_over,secondary,6100
2018,males,15-19,post-sec,13100
2018,males,20-24,post-sec,23900
2018,males,25-29,post-sec,13000
2018,males,30-34,post-sec,11900
2018,males,35-39,post-sec,13400
2018,males,40-44,post-sec,12800
2018,males,45-49,post-sec,15900
2018,males,50-54,post-sec,16600
2018,males,55-59,post-sec,15100
2018,males,60-64,post-sec,11800
2018,males,65-69,post-sec,5800
2018,males,70_and_over,post-sec,3400
2018,males,15-19,dip_and_professional_qual,1900
2018,males,20-24,dip_and_professional_qual,34900
2018,males,25-29,dip_and_professional_qual,30800
2018,males,30-34,dip_and_professional_qual,27100
2018,males,35-39,dip_and_professional_qual,29300
2018,males,40-44,dip_and_professional_qual,31100
2018,males,45-49,dip_and_professional_qual,25100
2018,males,50-54,dip_and_professional_qual,20000
2018,males,55-59,dip_and_professional_qual,14800
2018,males,60-64,dip_and_professional_qual,9200
2018,males,65-69,dip_and_professional_qual,4900
2018,males,70_and_over,dip_and_professional_qual,1400
2018,males,15-19,degree,-
2018,males,20-24,degree,3900
2018,males,25-29,degree,54700
2018,males,30-34,degree,68000
2018,males,35-39,degree,72900
2018,males,40-44,degree,72900
2018,males,45-49,degree,60800
2018,males,50-54,degree,44200
2018,males,55-59,degree,26100
2018,males,60-64,degree,13300
2018,males,65-69,degree,6600
2018,males,70_and_over,degree,3100
2018,females,15-19,primary_and_below,100
2018,females,20-24,primary_and_below,100
2018,females,25-29,primary_and_below,1200
2018,females,30-34,primary_and_below,1800
2018,females,35-39,primary_and_below,2400
2018,females,40-44,primary_and_below,5900
2018,females,45-49,primary_and_below,9600
2018,females,50-54,primary_and_below,13900
2018,females,55-59,primary_and_below,16700
2018,females,60-64,primary_and_below,19300
2018,females,65-69,primary_and_below,13100
2018,females,70_and_over,primary_and_below,13200
2018,females,15-19,lower_secondary,300
2018,females,20-24,lower_secondary,200
2018,females,25-29,lower_secondary,1300
2018,females,30-34,lower_secondary,2400
2018,females,35-39,lower_secondary,3800
2018,females,40-44,lower_secondary,5100
2018,females,45-49,lower_secondary,7700
2018,females,50-54,lower_secondary,12500
2018,females,55-59,lower_secondary,8900
2018,females,60-64,lower_secondary,8200
2018,females,65-69,lower_secondary,4800
2018,females,70_and_over,lower_secondary,2000
2018,females,15-19,secondary,5500
2018,females,20-24,secondary,4300
2018,females,25-29,secondary,7500
2018,females,30-34,secondary,8500
2018,females,35-39,secondary,12500
2018,females,40-44,secondary,17000
2018,females,45-49,secondary,26800
2018,females,50-54,secondary,32900
2018,females,55-59,secondary,28500
2018,females,60-64,secondary,21800
2018,females,65-69,secondary,9100
2018,females,70_and_over,secondary,2500
2018,females,15-19,post-sec,4300
2018,females,20-24,post-sec,12900
2018,females,25-29,post-sec,8100
2018,females,30-34,post-sec,7800
2018,females,35-39,post-sec,7500
2018,females,40-44,post-sec,8900
2018,females,45-49,post-sec,12400
2018,females,50-54,post-sec,11800
2018,females,55-59,post-sec,10000
2018,females,60-64,post-sec,6800
2018,females,65-69,post-sec,2300
