,Year,Q1,Q2,Q3,Q4
6,2017,1.9,3.1,3.2,4.0
7,2018,4.0,3.6,3.5,2.8
8,2019,3.4,2.1,4.5,0.5
9,2020,2.4,1.0,0.6,1.6
10,2021,0.2,3.8,3.8,6.9
