,Year,Q1,Q2,Q3,Q4
6,2017,1.6,3.0,3.0,3.6
7,2018,3.5,3.2,3.1,2.5
8,2019,3.2,2.1,4.0,0.7
9,2020,2.2,0.0,-0.6,0.8
10,2021,-0.4,1.0,3.7,6.4
